"Timestamp","1. Cuánto tiempo llevas usando un teléfono inteligente?","2. Qué marca de teléfono inteligente tienes?","3. Para qué usas principalmente tu teléfono?","4. A qué hora del día usas más tu teléfono celular?","5. Al decidir cuánto pagar por un teléfono celular que está comprando, ¿qué considera más importante?","6. Cuántas aplicaciones tienes?","7. Enumera las 5 aplicaciones que más utilizas.","8. En una palabra, especifica una característica adicional que te gustaría tener que actualmente no está disponible.","9. Con qué frecuencia compras un nuevo teléfono celular?","10. Cuáles son las características más importantes al elegir un teléfono?","11. Para comunicarse con las personas, prefiere llamar o enviar un mensaje de texto?","12. Cuál es su aplicación de mensajería preferida (por ejemplo, WhatsApp)?","13. Te sientes seguro usando la opción de pago inteligente desde tu teléfono (Samsung Pay, Applepay)?","14. Cuál es el rango de precio promedio que estás dispuesto a gastar en un nuevo teléfono celular (dólares estadounidenses)?","15. En una escala del 1 al 10 (10 siendo mucho), cuánto te distrae el teléfono de tu vida cotidiana?","16. De qué país eres y en qué país vives (escribe tus respuestas en el mismo orden)?","17. Qué edad tienes?"
"2018/05/09 8:08:04 PM GMT+2","Menos de 2 años","Alcatel","Hacer llamadas;Enviar mensajes de texto","Mañana","Características y funciones","1 - 10","","","1 - 2 años","Duración de la batería","Llamada","WhatsApp","No lo usas","$301 - $700","4","Colombia y vivo en colombia","15 - 25"
"2018/05/09 8:08:12 PM GMT+2","Entre 4 y 6 años","Samsung","Hacer llamadas;Tomar fotos;Redes Sociales","Tarde","Características y funciones","1 - 10","Face wsaatpp mesingger","","Más de 4 años","Duración de la batería","Texto","WhatsApp","No lo usas","0 - $300","5","Colómbia  colómbia","26 - 35"
"2018/05/09 8:12:24 PM GMT+2","Más de 6 años","Samsung","Enviar mensajes de texto","Mañana","Características y funciones","1 - 10","Contestador, WhatsApp, Google, photo, maps.","Liviano","3 - 4 años","Marca","Texto","WhatsApp","No lo usas","$301 - $700","8","Colombia - USA","Más de 60"
"2018/05/09 8:16:47 PM GMT+2","Más de 6 años","Samsung;Huawei","Hacer llamadas;Enviar mensajes de texto;Redes Sociales;Internet","Mañana","Características y funciones","11 - 35","Wifi.  whatsapp    onenote, plat store ,google, map, pasalapagina, word deezee, microso","Batería ","1 - 2 años","Duración de la batería","Llamada","WhatsApp","No","$301 - $700","5","Colombia colombia","Más de 60"
"2018/05/09 8:28:57 PM GMT+2","","","","","","","","","","","","","","","","",""
"2018/05/09 8:31:13 PM GMT+2","Más de 6 años","Iphone","Hacer llamadas;Tomar fotos;Redes Sociales;Internet","Tarde en el noche","Estatus de la marca","11 - 35","Sucursal virtual, gmail, davivienda, instagram, hostil ","Rapidez ","Más de 4 años","Marca","Texto","WhatsApp","No lo usas","$301 - $700","8","Colombia- colombia ","36 - 45"
"2018/05/09 8:37:27 PM GMT+2","Menos de 2 años","Samsung","Hacer llamadas;Tomar fotos;Redes Sociales;Internet;Escuchar música","Tarde en el noche","Características y funciones","11 - 35","4","Infrarrojo","3 - 4 años","Marca","Texto","WhatsApp","No lo usas","0 - $300","5","Colombia ","15 - 25"
"2018/05/09 10:46:26 PM GMT+2","Entre 4 y 6 años","LG","Tomar fotos;Enviar mensajes de texto","Mañana","Características y funciones","1 - 10","Wassap,maps,google","Nada. No necesito mas.","3 - 4 años","Duración de la batería","Llamada","WhatsApp","No lo usas","0 - $300","7","España,España","36 - 45"
"2018/05/10 2:24:41 AM GMT+2","Más de 6 años","Huawei","Hacer llamadas;Tomar fotos;Redes Sociales;Internet;Escuchar música","Tarde en el noche","Características y funciones","11 - 35","1. WhatsApp, 2. YouTube, 3. Google Chrome, 4. Gmail, 5. Facebook","Duración","1 - 2 años","Precio","Llamada","WhatsApp","Sí","0 - $300","6","Colombia, Colombia","26 - 35"
"2018/05/10 8:15:55 PM GMT+2","Más de 6 años","Iphone","Hacer llamadas;Tomar fotos;Enviar mensajes de texto;Redes Sociales;Internet;Juegos;Escuchar música","Noche","Características y funciones","11 - 35","Whatapp, Facebook FaceTime instagram Waze","---","Más de 4 años","Duración de la batería","Llamada","WhatsApp","No lo usas","0 - $300","4","Colombia Israel ","36 - 45"
"2018/05/10 8:19:58 PM GMT+2","Más de 6 años","Motorola","Tomar fotos","Tarde","Características y funciones","11 - 35","Gif maker editor, WhatsApp, paint, steepshot, youtube","","3 - 4 años","Píxeles de la cámara","Llamada","WhatsApp","No","$301 - $700","7","Colombia.","36 - 45"
"2018/05/12 3:55:09 AM GMT+2","Más de 6 años","Samsung","Tomar fotos;Mapas;Internet;Escuchar música","Noche","Respaldo de la marca, antes que estatus","11 - 35","Correo electrónico, Instagram, editor de imágenes, app banco","No sé","3 - 4 años","Precio","Texto","WhatsApp","No lo usas","$301 - $700","6","Colombiana. Colombia","26 - 35"
"2018/05/12 3:55:14 AM GMT+2","Más de 6 años","Samsung","Tomar fotos;Mapas;Internet;Escuchar música","Noche","Respaldo de la marca, antes que estatus","11 - 35","Correo electrónico, Instagram, editor de imágenes, app banco","No sé","3 - 4 años","Precio","Texto","WhatsApp","No lo usas","$301 - $700","6","Colombiana. Colombia","26 - 35"
